Age,Gender,1. Which device do you use the most during the day?  ,2. What is your average daily screen time (combining all devices e.g. 6.7)?  ,3. What is the longest you typically look at a screen WITHOUT taking a break?  ,4. At what distance do you usually hold/view your screen?,5. In what lighting condition do you mostly use your devices?  ,"6. Do you use ""Night Mode,"" ""Eye Comfort Shield,"" or ""Blue Light Filters""? ",7. Screen Position: Where is the top of your screen relative to your eyes?  ,8. Do your parents (father or mother) wear glasses for distance vision?  ,9. How many liters of water do you drink daily? (Hydration affects dry eyes)  ,10. Do you consciously try to blink often while using screens?  ,11. Do you currently wear spectacles (glasses) or contact lenses?  ,"12. How frequently do you experience symptoms like headache, dry eyes, or blurred vision after using devices?  "
21,Male,Smartphone,10,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),No,More than 2 Liters,Yes,Yes,Sometimes
21,Male,Smartphone,12,More than 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,Yes,Sometimes
28,Male,Smartphone,7.4,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
21,Female,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",Below eye level (Looking slightly down - Ideal),No,1 to 2 Liters,No/ I don't pay attention,Yes,Rarely
42,Female,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Never
21,Male,Smartphone,5,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Lying down in bed (Variable),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Rarely
24,Male,Smartphone,6,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Sometimes
21,Male,Smartphone,5.1,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
45,Female,Smartphone,7,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,Yes,Sometimes
21,Male,Laptop/Desktop,5,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,Yes,Yes,Sometimes
50,Male,Smartphone,4,Less than 30 mins,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,Yes,Sometimes
21,Female,Smartphone,8,More than 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",Below eye level (Looking slightly down - Ideal),No,More than 2 Liters,No/ I don't pay attention,No,Sometimes
36,Female,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,No,Sometimes
18,Female,Smartphone,8,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Rarely
21,Male,Smartphone,8,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dark room (Lights off),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
23,Female,Laptop/Desktop,8,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,No,Sometimes
17,Female,Smartphone,4,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
43,Female,Smartphone,2,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
30,Male,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,No,Sometimes
32,Female,Laptop/Desktop,10,1 to 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"No, never",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,No,Frequently/Every Day
30,Male,Smartphone,15,30 to 60 mins,Very Close (< 30 cm),Dark room (Lights off),"Yes, always",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,Yes,Never
47,Male,Laptop/Desktop,8,Less than 30 mins,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,Yes,Rarely
35,Female,Smartphone,3,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),No,1 to 2 Liters,No/ I don't pay attention,No,Rarely
23,Female,Smartphone,4,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),No,1 to 2 Liters,Yes,No,Sometimes
22,Female,Smartphone,10,More than 2 hours,Arm's Length (Approx. 40-50 cm),Dark room (Lights off),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,Yes,Frequently/Every Day
22,Female,Smartphone,7,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
35,Female,Smartphone,3,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Rarely
45,Male,Laptop/Desktop,9,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
28,Male,Smartphone,4,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,No,Sometimes
32,Male,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Never
49,Male,Smartphone,4,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"No, never",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
31,Female,Laptop/Desktop,12,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
23,Female,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Rarely
48,Female,Smartphone,6,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
18,Male,Smartphone,6,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,Yes,No,Rarely
56,Female,Smartphone,2,30 to 60 mins,Very Close (< 30 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,No,Sometimes
34,Female,Smartphone,3,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
30,Male,Smartphone,2,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dark room (Lights off),"Yes, always",Lying down in bed (Variable),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Never
17,Male,Smartphone,8,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,Yes,Yes,Rarely
19,Female,Smartphone,4,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",Less than 1 Liter,Yes,Yes,Never
22,Female,Laptop/Desktop,12,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),No,1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
19,Male,Smartphone,7,1 to 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",Above eye level (Looking up),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Rarely
17,Female,Smartphone,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
40,Female,Smartphone,1,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Above eye level (Looking up),No,Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
20,Male,Smartphone,8,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
32,Male,Smartphone,2,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",Less than 1 Liter,No/ I don't pay attention,No,Sometimes
27,Female,Smartphone,5,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Rarely
23,Female,Smartphone,3,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,Yes,Rarely
24,Female,Laptop/Desktop,12,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),No,1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
20,Male,Smartphone,5,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",Less than 1 Liter,No/ I don't pay attention,Yes,Sometimes
21,Male,Smartphone,4,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Rarely
30,Female,Laptop/Desktop,12,More than 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",Above eye level (Looking up),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,Yes,Sometimes
20,Male,Smartphone,10,More than 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,Yes,No,Sometimes
21,Male,Smartphone,10,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,No,Rarely
21,Male,Laptop/Desktop,6,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),No,1 to 2 Liters,No/ I don't pay attention,Yes,Rarely
21,Male,Smartphone,10,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Rarely
33,Male,Smartphone,6,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),"No, never",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,No,Never
35,Female,Smartphone,2,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,"Yes, always",Above eye level (Looking up),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,No,Rarely
32,Female,Smartphone,7,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),No,More than 2 Liters,No/ I don't pay attention,No,Rarely
22,Female,Smartphone,4,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",Less than 1 Liter,Yes,Yes,Rarely
51,Male,Smartphone,6,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,Yes,No,Rarely
21,Male,Smartphone,6,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",Less than 1 Liter,Yes,No,Rarely
18,Male,Smartphone,6,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,No,Never
25,Male,Smartphone,3,More than 2 hours,Far (> 50 cm / Desktop distance),Dim light / Low light,"No, never",At eye level (Looking straight),No,1 to 2 Liters,Yes,No,Never
51,Male,Smartphone,5,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"No, never",Above eye level (Looking up),"Yes, both parents",1 to 2 Liters,No/ I don't pay attention,No,Never
49,Female,Laptop/Desktop,7,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",Less than 1 Liter,Yes,No,Sometimes
41,Female,Laptop/Desktop,7,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,"Yes, always",Above eye level (Looking up),No,More than 2 Liters,Yes,No,Sometimes
40,Female,Laptop/Desktop,6,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",Less than 1 Liter,No/ I don't pay attention,No,Rarely
74,Female,Tablet,2,Less than 30 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),No,1 to 2 Liters,Yes,Yes,Never
83,Male,Smartphone,3,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),No,Less than 1 Liter,No/ I don't pay attention,Yes,Rarely
37,Female,Smartphone,11,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dark room (Lights off),"Yes, always",Above eye level (Looking up),No,More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
33,Female,Laptop/Desktop,13,30 to 60 mins,Very Close (< 30 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),No,1 to 2 Liters,Yes,Yes,Frequently/Every Day
45,Male,Laptop/Desktop,5,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
36,Male,Laptop/Desktop,5,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Frequently/Every Day
21,Male,Smartphone,8,More than 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),"Yes, both parents",1 to 2 Liters,Yes,Yes,Sometimes
21,Male,Tablet,12,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Never
21,Female,Smartphone,8.5,1 to 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Lying down in bed (Variable),"Yes, one parent",More than 2 Liters,Yes,No,Sometimes
39,Male,Laptop/Desktop,4,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,No,Frequently/Every Day
25,Male,Smartphone,3,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,Sometimes,Above eye level (Looking up),"Yes, one parent",1 to 2 Liters,Yes,Yes,Rarely
37,Male,Laptop/Desktop,7,30 to 60 mins,Arm's Length (Approx. 40-50 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,No,Frequently/Every Day
45,Male,Smartphone,5,30 to 60 mins,Very Close (< 30 cm),Dim light / Low light,"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,No,Frequently/Every Day
30,Female,Tablet,9,1 to 2 hours,Far (> 50 cm / Desktop distance),Dark room (Lights off),Sometimes,Lying down in bed (Variable),No,Less than 1 Liter,Yes,Yes,Rarely
38,Male,Laptop/Desktop,5,More than 2 hours,Far (> 50 cm / Desktop distance),Dim light / Low light,"Yes, always",At eye level (Looking straight),No,More than 2 Liters,Yes,Yes,Rarely
67,Female,Laptop/Desktop,10,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),No,Less than 1 Liter,No/ I don't pay attention,Yes,Never
18,Female,Laptop/Desktop,3,1 to 2 hours,Far (> 50 cm / Desktop distance),Dark room (Lights off),Sometimes,Lying down in bed (Variable),No,Less than 1 Liter,Yes,Yes,Rarely
18,Female,Tablet,4,1 to 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"No, never",Lying down in bed (Variable),No,Less than 1 Liter,No/ I don't pay attention,Yes,Frequently/Every Day
18,Female,Laptop/Desktop,6,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Lying down in bed (Variable),No,Less than 1 Liter,Yes,Yes,Rarely
50,Female,Laptop/Desktop,5,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Lying down in bed (Variable),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Sometimes
21,Male,Laptop/Desktop,12,1 to 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Rarely
47,Male,Laptop/Desktop,6,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Never
19,Male,Smartphone,5,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",Lying down in bed (Variable),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
23,Male,Smartphone,3,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),No,Less than 1 Liter,Yes,No,Never
14,Female,Smartphone,7,1 to 2 hours,Far (> 50 cm / Desktop distance),Dark room (Lights off),"No, never",Above eye level (Looking up),"Yes, both parents",Less than 1 Liter,Yes,No,Never
41,Male,Smartphone,2,More than 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),Sometimes,At eye level (Looking straight),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,No,Frequently/Every Day
20,Male,Smartphone,4,30 to 60 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Rarely
22,Male,Smartphone,5,More than 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),No,More than 2 Liters,Yes,No,Rarely
24,Male,Laptop/Desktop,12,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",More than 2 Liters,Yes,Yes,Rarely
45,Male,Laptop/Desktop,2,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Sometimes
45,Female,Laptop/Desktop,3,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, both parents",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,1.2,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,Yes,Yes,Never
45,Female,Laptop/Desktop,2.8,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,Below eye level (Looking slightly down - Ideal),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Never
45,Female,Laptop/Desktop,2,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,No,Never
45,Female,Laptop/Desktop,2.7,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,1.5,More than 2 hours,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Frequently/Every Day
45,Female,Laptop/Desktop,3,Less than 30 mins,Very Close (< 30 cm),Dim light / Low light,Sometimes,At eye level (Looking straight),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Frequently/Every Day
